video,file,label,original,frame,fold
atrteuctxr,280_0.png,1,fopjiyxiqd,280,3
bztdemptfg,30_0.png,1,exxqlfpnbz,30,2
sdzzzxteas,40_0.png,1,dxfdovivlw,40,3
nbjwcgpeoi,250_0.png,1,qarqtkvgby,250,3
tktsmomimq,20_0.png,1,fdpisghkmd,20,1
keuvybqsbr,50_0.png,1,prdrkaxeob,50,2
zuvktiyzzr,290_0.png,1,psjfwjzrrh,290,1
lrpjtzwsdt,250_0.png,1,fsaronfupy,250,3
viuioldtnu,260_0.png,1,exxqlfpnbz,260,2
gpzwvdkuie,150_0.png,1,kqlvggiqee,150,3
mxibogtmey,60_0.png,1,lzbmwwejxb,60,3
qzchhaoptt,290_0.png,1,wynotylpnm,290,2
tafsqvrhuv,100_0.png,1,knxltsvzyu,100,0
lrjxcwrzls,240_0.png,1,prmwoaeeng,240,2
qdqdsaiitt,50_0.png,1,gnmmhlbzge,50,3
jbxviammiv,200_0.png,1,fopjiyxiqd,200,3
yfnvwhnofw,30_0.png,1,xdezcezszc,30,3
bdnoxibdvz,60_0.png,1,gvasarkpfh,60,0
kiswvzlayw,210_0.png,1,qyqufaskjs,210,0
ygfoblbxcx,250_0.png,1,dpevefkefv,250,1
bzxauvpscl,80_0.png,1,vmxfwxgdei,80,1
vzockawbyi,60_0.png,1,vpmyeepbep,60,2
xnztznqlis,20_0.png,1,gnmmhlbzge,20,3
tkcuhfhdzs,20_0.png,1,dxfdovivlw,20,3
pbvgwcwzkg,130_0.png,1,uprwuohbwx,130,2
vmwcynlwee,110_0.png,1,uqtqhiqymz,110,3
upmgtackuf,160_0.png,0,upmgtackuf,160,1
jgdzqmqalr,160_0.png,1,ngvcqxjhyb,160,2
awfjdqqygu,240_0.png,1,vpmyeepbep,240,2
pelmgfqkmh,240_0.png,1,yxvmusxvcz,240,0
fzkzqwoghs,240_0.png,1,qyqufaskjs,240,0
vmxfwxgdei,30_0.png,0,vmxfwxgdei,30,1
umpscxhfsk,160_0.png,1,xdezcezszc,160,3
cqtxrekabh,50_0.png,1,fnslimfagb,50,3
xkmpyvtdch,130_0.png,1,dxfdovivlw,130,3
dxfdovivlw,270_0.png,0,dxfdovivlw,270,3
grqyyhfexr,280_0.png,1,wynotylpnm,280,2
oolnekhvhx,100_0.png,1,fnslimfagb,100,3
surcmsyrlz,30_0.png,1,fnslimfagb,30,3
gtdjfweoyr,130_0.png,1,gnmmhlbzge,130,3
qrxgkksxfu,220_0.png,1,syxobtuucp,220,0
rtwlskwxqy,250_0.png,1,chqqxfuuzi,250,1
uwzlafwdra,200_0.png,1,vtunvalyji,200,2
sfbnrbvbpn,240_0.png,1,wynotylpnm,240,2
wugnnrsolg,260_0.png,1,vtunvalyji,260,2
lgkakqesov,0_0.png,1,yexeazbqig,0,0
phunswkrpy,100_0.png,1,nweufafotd,100,3
frsjawvaoq,120_0.png,1,xchzardbfa,120,1
xfmcdyaipa,20_0.png,1,yxvmusxvcz,20,0
fsdrwikhge,10_0.png,1,fsaronfupy,10,3
osmnegfehr,240_0.png,1,qyqufaskjs,240,0
hdgfgvcoqk,210_0.png,1,prdrkaxeob,210,2
jdkvgcjxje,20_0.png,1,jawgcggquk,20,0
ekkheaisuo,190_0.png,1,qarqtkvgby,190,3
gxzdueambi,160_0.png,1,fsaronfupy,160,3
cqomufbzpp,90_0.png,1,lzbmwwejxb,90,3
mpivbgsohk,90_0.png,1,qyqufaskjs,90,0
hqzwudvhih,280_0.png,1,xmkwsnuzyq,280,2
hefisnapds,0_0.png,1,vpmyeepbep,0,2
xtaktzlrme,150_0.png,1,wfzjxzhdkj,150,1
zovntpfyum,250_0.png,1,gvasarkpfh,250,0
achdeirhym,140_0.png,1,wynotylpnm,140,2
fgobmbcami,40_1.png,0,fgobmbcami,40,1
komngcqveq,120_0.png,1,kqlvggiqee,120,3
wtcvgvuqzd,120_0.png,1,uprwuohbwx,120,2
qwvxbksoeo,280_0.png,1,wynotylpnm,280,2
obpxzorkar,40_0.png,1,ybbrkacebd,40,1
ncqjcvgayx,220_0.png,1,fsaronfupy,220,3
guqayoypew,20_0.png,1,vpmyeepbep,20,2
yimqkeekjm,180_0.png,1,fopjiyxiqd,180,3
jrgfabamaa,170_0.png,1,psjfwjzrrh,170,1
koxwykmawn,140_0.png,1,syxobtuucp,140,0
fbgfjwjrzl,110_0.png,1,heiyoojifp,110,3
qjzzeyijyv,180_0.png,1,yxvmusxvcz,180,0
tpvukvpape,80_0.png,1,xdezcezszc,80,3
pemiibmvkj,160_0.png,1,fdpisghkmd,160,1
fbgfjwjrzl,200_0.png,1,heiyoojifp,200,3
npneqyjgiq,80_0.png,1,kqlvggiqee,80,3
obpxzorkar,290_0.png,1,ybbrkacebd,290,1
hqzwudvhih,60_0.png,1,xmkwsnuzyq,60,2
lncevtcwya,120_0.png,1,kqlvggiqee,120,3
jqlsethxvz,130_0.png,1,psjfwjzrrh,130,1
gxzdueambi,190_0.png,1,fsaronfupy,190,3
swsaoktwgi,220_0.png,1,prmwoaeeng,220,2
gczieafvpe,160_0.png,1,apvzjkvnwn,160,0
fjafyicjlw,100_0.png,1,upmgtackuf,100,1
roqbnlondz,130_0.png,1,fzvpbrzssi,130,2
atpngxfnhr,0_0.png,1,xugmhbetrw,0,0
chqqxfuuzi,280_0.png,0,chqqxfuuzi,280,1
pglroykzea,250_0.png,1,uqtqhiqymz,250,3
ypufjcamul,220_0.png,1,wcqvzujamg,220,2
bkcztuqxbp,100_0.png,1,wynotylpnm,100,2
clzkcmoyhb,110_0.png,1,gnmmhlbzge,110,3
ncqjcvgayx,120_0.png,1,fsaronfupy,120,3
tjywwgftmv,110_0.png,1,syxobtuucp,110,0
fedcdqtboz,130_0.png,1,jytrvwlewz,130,1
vtunvalyji,70_0.png,0,vtunvalyji,70,2
qodykiwotk,140_0.png,1,prmwoaeeng,140,2
gecrjewspu,20_0.png,1,didzujjhtg,20,2
ybdtkypwez,30_0.png,1,wynotylpnm,30,2
gjjpzsgigh,290_0.png,1,lzbmwwejxb,290,3
npneqyjgiq,10_0.png,1,kqlvggiqee,10,3
txsyzefnur,240_0.png,1,nweufafotd,240,3
ushjtzfvyn,0_0.png,1,dpevefkefv,0,1
axfhbpkdlc,280_0.png,1,lzbmwwejxb,280,3
efktbhpilh,140_0.png,1,srfefmyjvt,140,0
tkyrsegtdw,40_0.png,1,jytrvwlewz,40,1
opsjddoxui,220_0.png,1,qarqtkvgby,220,3
ewknjjmzqb,170_0.png,1,jawgcggquk,170,0
yxvmusxvcz,260_0.png,0,yxvmusxvcz,260,0
doniqevxeg,150_0.png,0,doniqevxeg,150,3
bqamrsyvnf,160_0.png,1,jytrvwlewz,160,1
ihrjvevuce,290_0.png,1,srfefmyjvt,290,0
hqxfenmiis,110_0.png,1,rnpefxwptv,110,1
szulggywzw,180_0.png,1,exseruhiuk,180,0
vqwkmjorkj,10_0.png,1,fopjiyxiqd,10,3
xnztznqlis,170_0.png,1,gnmmhlbzge,170,3
uiaubrlxyl,190_0.png,1,eppyqpgewp,190,2
vzockawbyi,70_0.png,1,vpmyeepbep,70,2
srfefmyjvt,270_0.png,0,srfefmyjvt,270,0
msoqnkucal,270_0.png,1,xugmhbetrw,270,0
guqayoypew,280_0.png,1,vpmyeepbep,280,2
ludeqgyyct,160_0.png,1,vtunvalyji,160,2
lvuvvfmmli,210_0.png,1,fsaronfupy,210,3
surcmsyrlz,180_0.png,1,fnslimfagb,180,3
rvaliysfnr,230_0.png,1,eppyqpgewp,230,2
mywukrvlwr,280_0.png,1,gnmmhlbzge,280,3
hsbwhlolsn,20_0.png,0,hsbwhlolsn,20,1
btizoxwqwp,240_0.png,1,fnslimfagb,240,3
cqroxivqio,100_0.png,1,lsmnqsnqld,100,2
yugbeaqhlf,70_0.png,1,fsaronfupy,70,3
xnfrhixfym,70_0.png,1,fsaronfupy,70,3
sdzzzxteas,10_0.png,1,dxfdovivlw,10,3
bzxauvpscl,260_0.png,1,vmxfwxgdei,260,1
kdiokpezzi,30_0.png,1,jytrvwlewz,30,1
xchzardbfa,260_0.png,0,xchzardbfa,260,1
fnslimfagb,100_0.png,0,fnslimfagb,100,3
onknhowfqb,270_0.png,1,exxqlfpnbz,270,2
rnpefxwptv,120_0.png,0,rnpefxwptv,120,1
kzezrsewki,190_0.png,1,lnjkpdviqb,190,1
btizoxwqwp,190_0.png,1,fnslimfagb,190,3
prmwoaeeng,210_0.png,0,prmwoaeeng,210,2
zkarzsylvk,110_0.png,1,dxfdovivlw,110,3
wnaweyzlqh,110_0.png,1,vpmyeepbep,110,2
fydhhlvjsj,30_0.png,1,rnpefxwptv,30,1
qweikxnvyq,40_0.png,1,fdpisghkmd,40,1
qyqufaskjs,90_0.png,0,qyqufaskjs,90,0
cfyayetydv,120_0.png,1,dxfdovivlw,120,3
lbwzzntrcc,260_0.png,1,exseruhiuk,260,0
rdbxcbseek,160_0.png,1,yxvmusxvcz,160,0
uccwyoqmtq,40_0.png,1,xugmhbetrw,40,0
pjkgenkrgb,130_0.png,1,srfefmyjvt,130,0
auquqlmsts,40_0.png,1,fopjiyxiqd,40,3
oakntpdygb,50_0.png,1,fnslimfagb,50,3
dzpokpqpxr,130_0.png,1,kqlvggiqee,130,3
msfssnmldu,10_0.png,1,pqdeutauqc,10,3
ljuuovfkgi,60_0.png,0,ljuuovfkgi,60,3
hqxfenmiis,210_0.png,1,rnpefxwptv,210,1
rtwlskwxqy,90_0.png,1,chqqxfuuzi,90,1
apvzjkvnwn,130_0.png,0,apvzjkvnwn,130,0
zvuidmemcp,200_0.png,1,wynotylpnm,200,2
cemftmsxis,270_0.png,1,jawgcggquk,270,0
atzwrsivnb,190_0.png,1,yxvmusxvcz,190,0
sqfzwnkpph,150_0.png,1,xkfliqnmwt,150,3
wrzuyvgcog,10_0.png,1,srfefmyjvt,10,0
onknhowfqb,50_0.png,1,exxqlfpnbz,50,2
wmooshykkb,170_0.png,1,ucthmsajay,170,0
gzkggvloao,80_0.png,1,jawgcggquk,80,0
cybnhobdyh,30_0.png,1,qarqtkvgby,30,3
qjzzeyijyv,240_0.png,1,yxvmusxvcz,240,0
citnmpozjl,10_0.png,1,nweufafotd,10,3
zyjmvauuzw,150_0.png,1,vpmyeepbep,150,2
dgyeaodnzw,160_0.png,1,psjfwjzrrh,160,1
yiabajckla,10_0.png,1,fopjiyxiqd,10,3
lgkakqesov,50_0.png,1,yexeazbqig,50,0
vriivjhzpk,190_0.png,1,qyqufaskjs,190,0
scyowrqkep,80_0.png,1,xkfliqnmwt,80,3
llgpkbhorg,50_0.png,1,gnmmhlbzge,50,3
sjwywglgym,180_0.png,1,uqtqhiqymz,180,3
cwqycdjevy,30_0.png,1,uprwuohbwx,30,2
awigxxbbpb,210_0.png,1,dxfdovivlw,210,3
vpsngiunec,280_0.png,1,ljuuovfkgi,280,3
pktyfrvywo,230_0.png,1,fzvpbrzssi,230,2
stgusxhcta,70_0.png,1,nweufafotd,70,3
escwylyxap,280_0.png,1,knxltsvzyu,280,0
zqjzmarjbk,150_0.png,1,heiyoojifp,150,3
hclsparpth,90_0.png,1,onbgbghesu,90,2
kiswvzlayw,130_0.png,1,qyqufaskjs,130,0
lrdnmalbhr,180_0.png,1,fsaronfupy,180,3
lbwzzntrcc,270_0.png,1,exseruhiuk,270,0
citnmpozjl,60_0.png,1,nweufafotd,60,3
iugnysiwao,170_0.png,1,yxvmusxvcz,170,0
qjpugmbxhb,90_0.png,1,xmkwsnuzyq,90,2
keuvybqsbr,10_0.png,1,prdrkaxeob,10,2
vmdpfyfkwi,70_0.png,1,lnjkpdviqb,70,1
vzockawbyi,100_0.png,1,vpmyeepbep,100,2
zbmsvslybw,70_0.png,1,khtwrijuqn,70,0
ywzumxqcsf,110_0.png,1,qarqtkvgby,110,3
gmctmgmyob,70_0.png,1,uprwuohbwx,70,2
vqwkmjorkj,130_0.png,1,fopjiyxiqd,130,3
hasjjkoygr,250_0.png,1,fopjiyxiqd,250,3
roqbnlondz,220_0.png,1,fzvpbrzssi,220,2
yptchajnvb,160_0.png,1,xcruhaccxc,160,1
hwcnsgqzld,240_0.png,1,psjfwjzrrh,240,1
kbssbcdcxx,70_0.png,1,psjfwjzrrh,70,1
rthtvpztdu,170_0.png,1,jawgcggquk,170,0
hwtupajxgl,140_0.png,1,lsmnqsnqld,140,2
wezyzowkwh,120_0.png,1,nweufafotd,120,3
drmtvuyoam,260_0.png,1,heiyoojifp,260,3
yotgejovqt,80_0.png,1,uprwuohbwx,80,2
horutnradk,70_0.png,1,uprwuohbwx,70,2
vpwnqqtgdd,100_0.png,1,hsbwhlolsn,100,1
xartlyjtjw,240_0.png,1,qarqtkvgby,240,3
kmhiqddyhh,220_0.png,1,yxvmusxvcz,220,0
epwesrdmpt,130_0.png,1,wynotylpnm,130,2
miiocrddnj,70_0.png,1,lokzwdldxp,70,1
aimzesksew,120_0.png,1,exseruhiuk,120,0
rdkqpgajlg,280_0.png,1,exxqlfpnbz,280,2
tvhjcfnqtg,260_0.png,1,fdpisghkmd,260,1
lnjkpdviqb,10_0.png,0,lnjkpdviqb,10,1
qloyrbpobv,110_0.png,1,vpmyeepbep,110,2
qrogkembje,200_0.png,1,exseruhiuk,200,0
rdbxcbseek,140_0.png,1,yxvmusxvcz,140,0
pjkgenkrgb,280_0.png,1,srfefmyjvt,280,0
frmzkdhkzw,80_0.png,1,yljecirelf,80,0
msoqnkucal,60_0.png,1,xugmhbetrw,60,0
vzockawbyi,0_0.png,1,vpmyeepbep,0,2
pdouadxxba,90_0.png,1,prmwoaeeng,90,2
uiqhpnzcmp,50_0.png,1,gnmmhlbzge,50,3
nadprinqny,290_0.png,1,doniqevxeg,290,3
nfggixifqp,30_0.png,1,jawgcggquk,30,0
oypqzdrhcr,90_0.png,1,psjfwjzrrh,90,1
pzdfwdnmyx,210_0.png,1,lsmnqsnqld,210,2
jbwtvoixgc,280_0.png,1,qarqtkvgby,280,3
oamtblkzpt,290_0.png,1,dpevefkefv,290,1
yexeazbqig,160_0.png,0,yexeazbqig,160,0
cxjtjcinqt,280_0.png,1,apvzjkvnwn,280,0
jorfifqxhq,150_0.png,1,vtunvalyji,150,2
laarpodtry,120_0.png,1,fdpisghkmd,120,1
onepaeivvr,70_0.png,1,fsaronfupy,70,3
pepaibwxnd,170_0.png,1,qarqtkvgby,170,3
nswlwuzzda,140_0.png,1,ljuuovfkgi,140,3
gzkggvloao,100_0.png,1,jawgcggquk,100,0
khtwrijuqn,270_0.png,0,khtwrijuqn,270,0
opvqdabdap,180_0.png,1,yljecirelf,180,0
osmnegfehr,160_0.png,1,qyqufaskjs,160,0
uipygodqdq,90_0.png,1,dpevefkefv,90,1
xlhxkekacj,160_0.png,1,fopjiyxiqd,160,3
toinozytsp,190_0.png,1,wynotylpnm,190,2
fckxaqjbxk,50_0.png,1,vpmyeepbep,50,2
vpjfmetsvn,240_0.png,1,nweufafotd,240,3
pmmhsciico,60_0.png,1,gnmmhlbzge,60,3
mlruidevki,70_0.png,1,uprwuohbwx,70,2
acryukkddn,30_0.png,1,fsaronfupy,30,3
nglitpseyp,90_0.png,1,xjzkfqddyk,90,3
crflaflooj,60_0.png,1,prdrkaxeob,60,2
veynowrrav,90_0.png,1,vpmyeepbep,90,2
tktsmomimq,90_0.png,1,fdpisghkmd,90,1
qjwomijmcb,100_0.png,1,kqlvggiqee,100,3
lnhkjhyhvw,60_0.png,0,lnhkjhyhvw,60,0
xchzardbfa,280_0.png,0,xchzardbfa,280,1
dibwmyrpql,20_0.png,1,prdrkaxeob,20,2
chqqxfuuzi,50_0.png,0,chqqxfuuzi,50,1
dxfdovivlw,80_0.png,0,dxfdovivlw,80,3
gwsmeakcic,70_0.png,1,ldtgofdaqg,70,0
zvuidmemcp,100_0.png,1,wynotylpnm,100,2
tbujzmjpsl,260_0.png,1,heiyoojifp,260,3
xmkwsnuzyq,0_0.png,0,xmkwsnuzyq,0,2
qrxgkksxfu,170_0.png,1,syxobtuucp,170,0
bqvhlqlrba,20_0.png,1,vpmyeepbep,20,2
ujvrrbmmye,240_0.png,1,jawgcggquk,240,0
hbdvyzpqny,160_0.png,1,lsmnqsnqld,160,2
eneofiltbk,150_0.png,1,wfzjxzhdkj,150,1
gfoozygynw,60_0.png,1,fdpisghkmd,60,1
rnfvcslcmf,150_0.png,1,vtunvalyji,150,2
uqtqhiqymz,260_0.png,0,uqtqhiqymz,260,3
fgobmbcami,60_1.png,0,fgobmbcami,60,1
mcjvcndrey,200_0.png,1,fopjiyxiqd,200,3
eauhakbohz,190_0.png,1,wfzjxzhdkj,190,1
cvycgtwfsi,80_0.png,1,gnmmhlbzge,80,3
whpyhuicpe,20_0.png,1,kqlvggiqee,20,3
uipygodqdq,120_0.png,1,dpevefkefv,120,1
rujcwrjwhf,270_0.png,1,fdpisghkmd,270,1
bzxauvpscl,20_0.png,1,vmxfwxgdei,20,1
zbmsvslybw,30_0.png,1,khtwrijuqn,30,0
cwqycdjevy,140_0.png,1,uprwuohbwx,140,2
xrtvtthfec,280_0.png,1,uprwuohbwx,280,2
jwkgjrmfxp,0_0.png,1,fnslimfagb,0,3
tamvgvhhbr,50_0.png,1,ljuuovfkgi,50,3
hsbwhlolsn,140_0.png,0,hsbwhlolsn,140,1
zplyjqnfmv,30_0.png,1,fopjiyxiqd,30,3
hvqfhieetb,30_0.png,1,jawgcggquk,30,0
titungrbgd,170_0.png,1,srfefmyjvt,170,0
horutnradk,210_0.png,1,uprwuohbwx,210,2
qcjwsygnxe,140_0.png,1,kqlvggiqee,140,3
frmzkdhkzw,200_0.png,1,yljecirelf,200,0
uhakqelqri,20_0.png,1,srfefmyjvt,20,0
cemftmsxis,30_0.png,1,jawgcggquk,30,0
fdpisghkmd,190_0.png,0,fdpisghkmd,190,1
xlmduthjih,260_0.png,1,doniqevxeg,260,3
cdcdoqbdmi,230_0.png,1,fdpisghkmd,230,1
vnnohpqhjq,110_0.png,1,doniqevxeg,110,3
gnlvnyrpfq,110_0.png,1,fsaronfupy,110,3
gwsmeakcic,230_0.png,1,ldtgofdaqg,230,0
vsmadeuczx,190_0.png,1,qarqtkvgby,190,3
wzrkgntquh,230_0.png,1,vtunvalyji,230,2
asxhhsants,40_0.png,1,psjfwjzrrh,40,1
qnghrfvbgb,240_0.png,1,jytrvwlewz,240,1
lmpfbmeade,230_0.png,1,psjfwjzrrh,230,1
dtfyluocuh,170_0.png,1,xjzkfqddyk,170,3
kstmekinaw,30_0.png,1,pqdeutauqc,30,3
tafsqvrhuv,60_0.png,1,knxltsvzyu,60,0
zcnslhnnhl,70_0.png,1,fsaronfupy,70,3
ijehzkozkp,120_0.png,1,didzujjhtg,120,2
ynrueopehk,230_0.png,1,ybbrkacebd,230,1
syxobtuucp,210_0.png,0,syxobtuucp,210,0
zpidqyqocx,200_0.png,1,exxqlfpnbz,200,2
bztdemptfg,130_0.png,1,exxqlfpnbz,130,2
calhtslbzf,0_0.png,1,kqlvggiqee,0,3
birmbtezni,240_0.png,1,fzvpbrzssi,240,2
padqtwbzzo,40_0.png,1,vtunvalyji,40,2
axbvoepbdc,210_0.png,1,apvzjkvnwn,210,0
horutnradk,50_0.png,1,uprwuohbwx,50,2
jsbpkpxwew,170_0.png,1,fdpisghkmd,170,1
uikpmbsozb,170_0.png,1,xugmhbetrw,170,0
atzwrsivnb,260_0.png,1,yxvmusxvcz,260,0
gecrjewspu,280_0.png,1,didzujjhtg,280,2
tbujzmjpsl,100_0.png,1,heiyoojifp,100,3
oaruliortd,180_0.png,1,qarqtkvgby,180,3
bldeizqycp,60_0.png,1,dxfdovivlw,60,3
vecdesnjqd,170_0.png,1,gnmmhlbzge,170,3
eckloytegm,180_0.png,1,xjzkfqddyk,180,3
xawrxpyoau,60_0.png,1,uqtqhiqymz,60,3
aejvkfbtxs,150_0.png,1,eppyqpgewp,150,2
doiljuhamq,10_0.png,1,onbgbghesu,10,2
cxgieqcozm,180_0.png,1,uqtqhiqymz,180,3
hbdvyzpqny,50_0.png,1,lsmnqsnqld,50,2
exxqlfpnbz,110_0.png,0,exxqlfpnbz,110,2
sqbyylskze,250_0.png,1,uprwuohbwx,250,2
hbdvyzpqny,180_0.png,1,lsmnqsnqld,180,2
xartlyjtjw,50_0.png,1,qarqtkvgby,50,3
ogrzmxwtom,280_0.png,1,dpevefkefv,280,1
louyyobufp,80_0.png,1,uprwuohbwx,80,2
kqlvggiqee,250_0.png,0,kqlvggiqee,250,3
xkmpyvtdch,240_0.png,1,dxfdovivlw,240,3
slkqbehdcq,240_0.png,1,xjzkfqddyk,240,3
yjllqhbmke,230_0.png,1,nrnklcxdzq,230,1
wnaweyzlqh,220_0.png,1,vpmyeepbep,220,2
aymlynzeni,160_0.png,1,doniqevxeg,160,3
hectzcuzdv,70_0.png,1,vtunvalyji,70,2
lcyjrsfrfx,50_0.png,1,qarqtkvgby,50,3
cybnhobdyh,270_0.png,1,qarqtkvgby,270,3
wdhvvkuwuq,20_0.png,1,exseruhiuk,20,0
rfjuhbnlro,230_0.png,1,uqtqhiqymz,230,3
fyrckgsqvg,110_0.png,1,lnhkjhyhvw,110,0
titungrbgd,20_0.png,1,srfefmyjvt,20,0
poxhzrfhha,40_0.png,1,rnpefxwptv,40,1
fxredodlkl,200_0.png,1,wynotylpnm,200,2
gudedkpnie,230_0.png,1,upmgtackuf,230,1
bzxauvpscl,130_0.png,1,vmxfwxgdei,130,1
llkhptusjn,130_0.png,1,fdpisghkmd,130,1
scrbqgpvzz,80_0.png,1,lnhkjhyhvw,80,0
fopjiyxiqd,110_0.png,0,fopjiyxiqd,110,3
ofquuujxmu,20_0.png,1,vtunvalyji,20,2
ntkrwyqoop,140_0.png,1,fopjiyxiqd,140,3
poxhzrfhha,290_0.png,1,rnpefxwptv,290,1
dolynaukae,120_0.png,1,gnmmhlbzge,120,3
uoantcwpwm,240_0.png,1,knxltsvzyu,240,0
sjwywglgym,120_0.png,1,uqtqhiqymz,120,3
wmoigsbnem,240_0.png,1,nweufafotd,240,3
wpnukldybg,40_0.png,1,jytrvwlewz,40,1
fsaronfupy,210_0.png,0,fsaronfupy,210,3
